Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,JPM,XOM,JNJ,PG,HD,CVX,XLK,XLF,XLE,XLV,XLI,XLP,TLT,IEF,HYG,LQD,GLD,SLV,USO,UUP,SPY,QQQ,EEM,EFA
2018-01-02,40.232383728027344,78.55201721191406,53.154693603515625,59.45050048828125,4.917028903961182,179.6988983154297,85.51602172851562,57.811161041259766,109.59034729003906,71.74512481689453,151.5312957763672,87.87362670898438,29.80256462097168,23.716835021972656,25.411863327026367,72.12799072265625,65.91510009765625,44.70827102661133,97.57401275634766,85.22796630859375,54.979591369628906,88.28843688964844,125.1500015258789,16.209999084472656,96.55999755859375,20.009973526000977,235.36978149414062,149.90106201171875,39.77656555175781,54.73713302612305
2018-01-03,40.22537612915039,78.91759490966797,54.06156921386719,60.209999084472656,5.240635395050049,182.91807556152344,85.6031723022461,58.94656753540039,110.63715362548828,71.65805053710938,152.321044921875,88.51416015625,30.0511531829834,23.844247817993164,25.79243278503418,72.81812286376953,66.27009582519531,44.69245910644531,98.04055786132812,85.31707000732422,55.24399185180664,88.44927215576172,124.81999969482422,16.170000076293945,98.72000122070312,20.08523178100586,236.85853576660156,151.35760498046875,40.15766525268555,54.99988555908203
2018-01-04,40.412208557128906,79.61219787597656,54.271568298339844,60.47949981689453,5.268260478973389,182.58128356933594,86.82948303222656,59.02815246582031,110.62932586669922,72.16458892822266,153.5299072265625,88.23865509033203,30.20306396484375,24.065105438232422,25.9481258392334,72.92166900634766,66.75503540039062,44.8189811706543,98.02497863769531,85.27655792236328,55.33842086791992,88.42009735107422,125.45999908447266,16.229999542236328,98.95999908447266,20.018335342407227,237.85682678222656,151.62242126464844,40.35651779174805,55.602657318115234
2018-01-05,40.8723258972168,80.59922790527344,54.991214752197266,61.457000732421875,5.312905788421631,185.07737731933594,86.2720718383789,58.98057556152344,111.54240417480469,72.21207427978516,155.13357543945312,88.09402465820312,30.52069664001465,24.133056640625,25.9377384185791,73.54277038574219,67.21399688720703,45.016658782958984,97.74502563476562,85.1712646484375,55.37617492675781,88.39078521728516,125.33000183105469,16.219999313354492,98.4800033569336,20.03506088256836,239.44192504882812,153.14512634277344,40.70448303222656,55.911781311035156
2018-01-08,40.72050094604492,80.6814956665039,55.18537521362305,62.34349822998047,5.475695610046387,186.49380493164062,86.39947509765625,59.24571990966797,111.68406677246094,72.59198760986328,154.76287841796875,88.5279312133789,30.63579559326172,24.099082946777344,26.09342384338379,73.27532196044922,67.4911117553711,45.12736511230469,97.68281555175781,85.13077545166016,55.33211135864258,88.38349914550781,125.30999755859375,16.149999618530273,99.04000091552734,20.127038955688477,239.87982177734375,153.7410430908203,40.70448303222656,55.89631652832031
2018-01-09,40.71583557128906,80.62666320800781,55.11503982543945,62.6349983215332,5.474215030670166,186.08767700195312,86.83746337890625,58.99415969848633,113.455078125,72.06171417236328,155.6171875,88.0527114868164,30.557523727416992,24.285968780517578,26.027692794799805,74.13801574707031,67.9240493774414,45.0640983581543,96.37659454345703,84.72577667236328,55.1621208190918,88.06179809570312,124.7300033569336,16.030000686645508,100.55999755859375,20.168851852416992,240.4228057861328,153.75047302246094,40.63819885253906,55.958160400390625
2018-01-10,40.706478118896484,80.26109313964844,54.98379135131836,62.71649932861328,5.517134189605713,186.05799865722656,87.79302215576172,58.5250358581543,113.32123565673828,71.60266876220703,154.5694580078125,88.61750030517578,30.451650619506836,24.48983383178711,25.996559143066406,74.00859069824219,67.91539764404297,44.84270095825195,96.26000213623047,84.70143127441406,55.04254150390625,88.12025451660156,125.02999877929688,16.020000457763672,101.44000244140625,20.118677139282227,240.05496215820312,153.3909912109375,40.38136672973633,55.849952697753906
2018-01-11,40.93772506713867,80.49870300292969,55.07839584350586,63.83399963378906,5.527000904083252,185.98867797851562,88.26282501220703,59.10295104980469,113.96672058105469,71.3493881225586,156.8904266357422,91.31058502197266,30.575942993164062,24.60875701904297,26.52935791015625,74.32781219482422,68.78133392333984,44.77943420410156,96.6565170288086,84.75816345214844,55.225093841552734,88.3322982788086,125.44000244140625,16.010000228881836,101.5999984741211,20.03506088256836,241.80642700195312,154.44093322753906,40.62991714477539,56.236351013183594
2018-01-12,41.36044692993164,81.88787078857422,55.9996223449707,65.26000213623047,5.499868869781494,177.66831970214844,89.72007751464844,59.50406265258789,114.73017883300781,70.92201232910156,158.29266357421875,92.02002716064453,30.755477905273438,24.82961654663086,26.785381317138672,74.89717102050781,69.42212677001953,44.79525375366211,96.81979370117188,84.70143127441406,55.13066482543945,88.34697723388672,126.95999908447266,16.270000457763672,102.95999908447266,19.826011657714844,243.38278198242188,155.575927734375,41.019317626953125,56.80049514770508
2018-01-16,41.1502571105957,80.74546813964844,56.00210189819336,65.24299621582031,5.429078578948975,176.6976318359375,89.40155029296875,59.13013458251953,115.59603118896484,71.4047622680664,158.2040557861328,90.92487335205078,30.63579559326172,24.76166343688965,26.446332931518555,75.26811218261719,68.79864501953125,45.0008544921875,97.22410583496094,84.74197387695312,55.09920120239258,88.42739868164062,127.16999816894531,16.25,102.08000183105469,19.717308044433594,242.55084228515625,155.13137817382812,40.86189651489258,56.74639892578125
2018-01-17,41.82990646362305,82.38136291503906,56.41814422607422,64.75,5.542787075042725,175.91513061523438,89.97491455078125,59.8304557800293,115.69047546386719,72.1804428100586,161.03271484375,91.16593933105469,31.09613609313965,24.94853973388672,26.678129196166992,75.99275207519531,69.17967224121094,45.51483154296875,97.09191131591797,84.5556411743164,55.10549545288086,88.18611145019531,126.13999938964844,16.059999465942383,102.23999786376953,19.767478942871094,244.86273193359375,156.80545043945312,41.40042495727539,57.040061950683594
2018-01-18,41.867271423339844,82.34483337402344,56.263118743896484,64.66600036621094,5.535878658294678,178.0942840576172,90.18990325927734,59.44288635253906,115.64326477050781,71.9172592163086,159.83192443847656,90.6355972290039,31.151369094848633,24.91456413269043,26.460163116455078,76.01000213623047,68.80728912353516,45.380409240722656,96.18997192382812,84.28836822509766,55.0488395690918,87.84241485595703,125.86000061035156,15.970000267028809,102.08000183105469,19.742395401000977,244.451171875,156.83380126953125,41.45014190673828,56.97050857543945
2018-01-19,41.68043518066406,82.2534408569336,56.63606262207031,64.72899627685547,5.675732612609863,179.57012939453125,89.99083709716797,59.25252914428711,115.98957824707031,72.62701416015625,162.2495880126953,90.43584442138672,31.211212158203125,25.092947006225586,26.425565719604492,76.29467010498047,69.0064926147461,45.88648223876953,95.6845703125,84.06964874267578,55.10549545288086,87.57189178466797,126.41999816894531,16.049999237060547,101.76000213623047,19.775842666625977,245.563232421875,157.32565307617188,41.789825439453125,57.28734588623047
2018-01-22,41.33943557739258,83.72486877441406,57.659332275390625,66.3655014038086,5.764032363891602,183.6114044189453,91.04196166992188,60.00040817260742,116.60355377197266,73.28097534179688,164.77200317382812,91.30368041992188,31.51504135131836,25.29681396484375,26.99642562866211,76.79503631591797,69.0064926147461,46.234397888183594,95.77787017822266,84.03726959228516,55.15586471557617,87.49149322509766,126.6500015258789,16.040000915527344,102.23999786376953,19.70894432067871,247.5599822998047,159.00917053222656,42.03009033203125,57.58101272583008
